PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP,NWPERM,PRC
66800,31/08/2010,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,33.93000
66800,30/09/2010,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,39.10000
66800,29/10/2010,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,42.01000
66800,30/11/2010,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,41.29000
66800,31/12/2010,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,57.62000
66800,31/01/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,40.35000
66800,28/02/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,37.06000
66800,31/03/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,35.14000
66800,29/04/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,31.15000
66800,31/05/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,28.50000
66800,30/06/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,29.32000
66800,29/07/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,28.70000
66800,31/08/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,25.33000
66800,30/09/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,21.95000
66800,31/10/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,24.69000
66800,30/11/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,23.31000
66800,30/12/2011,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,23.20000
66800,31/01/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,25.11000
66800,29/02/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,29.22000
66800,30/03/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,30.83000
66800,30/04/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,34.03000
66800,31/05/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,29.18000
66800,29/06/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,32.09000
66800,31/07/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,31.27000
66800,31/08/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,34.33000
66800,28/09/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,32.79000
66800,31/10/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,34.93000
66800,30/11/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,33.13000
66800,31/12/2012,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,35.30000
66800,31/01/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,37.83000
66800,28/02/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,38.01000
66800,28/03/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,38.82000
66800,30/04/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,41.42000
66800,31/05/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,44.46000
66800,28/06/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,44.70000
66800,31/07/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,45.51000
66800,30/08/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,46.46000
66800,30/09/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,48.63000
66800,31/10/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,51.65000
66800,29/11/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,49.75000
66800,31/12/2013,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,51.05000
66800,31/01/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,47.96000
66800,28/02/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,49.77000
66800,31/03/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,50.01000
66800,30/04/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,53.13000
66800,30/05/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.07000
66800,30/06/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.58000
66800,31/07/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,51.98000
66800,29/08/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,56.06000
66800,30/09/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.02000
66800,31/10/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,53.57000
66800,28/11/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.80000
66800,31/12/2014,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,56.01000
66800,30/01/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,48.87000
66800,27/02/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,55.33000
66800,31/03/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.79000
66800,30/04/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,56.29000
66800,29/05/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,58.61000
66800,30/06/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,61.82000
66800,31/07/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,64.12000
66800,31/08/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,60.34000
66800,30/09/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,56.82000
66800,30/10/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,63.06000
66800,30/11/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,63.58000
66800,31/12/2015,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,61.97000
66800,29/01/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,56.48000
66800,29/02/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,50.20000
66800,31/03/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.05000
66800,29/04/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,55.82000
66800,31/05/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,57.88000
66800,30/06/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,52.89000
66800,29/07/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,54.44000
66800,31/08/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,59.83000
