gvkey,splticrm,spsticrm,datadate,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,conm,tic,cusip
001075,BBB,A-2,31/10/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/11/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/12/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/01/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,29/02/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/03/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/04/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/05/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/06/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/07/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/08/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/09/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/10/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,30/11/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/12/2012,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/01/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,28/02/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/03/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,30/04/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/05/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,30/06/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/07/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/08/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,30/09/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,31/10/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB+,A-2,30/11/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/12/2013,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/01/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,28/02/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/03/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/04/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/05/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/06/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/07/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/08/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/09/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/10/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
